[2014-10-21 13:20:03] EDIT heritage/views/default/about.html: -1
[2014-10-21 13:20:30] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:20:52] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:21:45] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:22:06] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:22:30] EDIT heritage/views/default/about.html: -1
[2014-10-21 13:22:43] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:23:03] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:23:45] EDIT heritage/views/default/youth.html: 0
[2014-10-21 13:24:07] EDIT heritage/views/default/youth.html: -1
[2014-10-21 13:24:23] EDIT heritage/views/default/youth.html: 1
[2014-10-21 13:24:38] EDIT heritage/views/default/youth.html: -1
[2014-10-21 13:25:00] EDIT heritage/views/default/youth.html: 0
[2014-10-21 13:25:19] EDIT heritage/views/default/about.html: 0
[2014-10-21 13:28:15] EDIT heritage/views/default/ministries.html: 9
[2014-10-21 13:28:41] EDIT heritage/models/db1.py: 2
[2014-10-21 13:36:30] EDIT heritage/static/css/style.css: 3
[2014-10-21 13:45:49] EDIT heritage/models/db1.py: 0
[2014-10-21 13:50:20] EDIT heritage/models/db1.py: 0
[2014-10-21 13:53:17] EDIT heritage/static/css/style.css: 0
[2014-10-21 13:53:30] EDIT heritage/static/css/style.css: 0
[2014-10-21 13:53:44] EDIT heritage/views/default/index.html: 0
[2014-10-21 13:56:10] EDIT heritage/static/css/style.css: 1
[2014-10-21 14:01:57] EDIT heritage/views/default/index.html: 4
[2014-10-21 14:36:40] EDIT heritage/views/default/index.html: 0
[2014-10-21 14:39:02] EDIT heritage/views/default/index.html: 1
[2014-10-21 14:39:39] EDIT heritage/views/default/index.html: 0
[2014-10-21 14:41:50] EDIT heritage/views/default/index.html: 1
[2014-10-21 14:42:06] EDIT heritage/views/default/index.html: 0
[2014-10-21 14:42:36] EDIT heritage/views/default/index.html: 0
[2014-10-21 14:42:55] EDIT heritage/views/default/index.html: 0
